Núm,Projeto,Relator,Atribuído a,Categoria,Data de Envio,Atualizado,Estado,Resumo,Corrigido na Versão,Data Limite,Descrição
0000541,C Projeto GPFB,Ytalo,,[C Projeto GPFB]-[Cat] Outras,2013-04-20,2013-08-09,fechado,Descrição dos produtos não aparece ao reimprimir os títulos.,,,"Ao reimprimir um título, a descrição do produto não está aparecendo na impressão."
0000540,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-04-19,2013-08-09,fechado,Botão salvar e cancelar não estão disponíveis para salvar ou cancelar alterações do titulo no contas a receber.,,,Botão salvar e cancelar não estão disponíveis para salvar ou cancelar alterações do titulo no contas a receber.
0000539,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-04-19,2013-08-09,fechado,"A permissão de usuário ""3a) Vencimento de Tit. Pago"" da guia contas a receber não está funcionando corretamente.",,,"A opção ""3a) Vencimento de Tit. Pago"" mesmo desmarcada oferece ao usuário alterar o vencimento na contas a receber."
0000538,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-04-19,2013-08-09,fechado,"Permissão de usuario da guia contas a receber opção ""3) Alterar"" não está funcionando corretamente.",,,"A opção alterar foi marcada para ativar a opção ""3b)Alterar Dados"" e em seguida a 
opção ""3) Alterar"" foi desmarcada, sendo que a opção ""3b)Alterar Dados"" ficou marcada mas em enable false, mesmo assim ao chegar no contas a receber a opção é como se estivesse habilitada dando a possibilidade de alterar os dados."
0000537,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-04-19,2013-08-09,fechado,"Erro ao clicar em salvar com o campo ""descrição"" em branco no cadastro de compromissos da agenda.",,,"Ao criar um novo compromisso na agenda, quando se clica em salvar com o campo ""Descrição"" em branco, o sistema está exibindo a seguinte mensagem de erro:

SQL Error:  validation error for column DESCR, value ""*** null ***"". Error Code: -625. The insert failed because a column definition includes validation constraints. The SQL: INSERT INTO IN01CLD (DTCPM,DESCR) VALUES (?,?); 
O comando não pôde ser executado!"
0000535,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Vendas,2013-04-18,2013-08-09,fechado,"Erro ao utilizar a tabulação na venda quando a permissão de usuário ""Usar preço padrão na venda"" está marcada.",,,"Ao utilizar a tabulação na venda quando a permissão de usuário ""Usar preço padrão na venda"" está marcada o sistema exibe a seguinte mensagem de erro:

Cannot focus a disabled or invisible window
O comando não pôde ser executado!"
0000532,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-04-16,2013-08-09,fechado,Baixa de titulo por valor não está funcionando corretamente quando há resquícios de valor no banco.,,,"Ao baixar títulos de um determinado cliente  por valor, ao verificar no banco de dados, um dos títulos baixados continha uma diferença de 0,3 centavos do valor correto, ocorrendo travamento no sistema e gerando vários títulos pagos com valor zerado. 


"
0000531,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-04-16,2013-08-09,fechado,Baixa de titulo normal não está funcionando corretamente quando há resquícios de valor.,,,"Na baixa de titulo normal (sem ser por valor) algumas vezes ocorre de baixar o titulo e mesmo assim ele fica como se não estivesse pago pois no banco o valor a pagar fica 0,0012121311 o que acaba levando o nome do cliente para o relatório de clientes com atrasos.


"
0000521,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras Entradas / Saídas,2013-04-12,2013-08-09,fechado,Descrição do produto não aparece após lançar produto na devolução.,,,"Descrição do produto não aparece no lançamento dos itens, após lançar produto na devolução."
0000520,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Entrada de Mercadoria,2013-04-12,2013-08-09,fechado,"Erro na entrada de mercadorias ao preencher os campos e clicar em ""Produtos da Nota"".",,,"Ao preencher os campos e clicar em ""Produtos da Nota"" o sistema exibe a seguinte mensagem de erro:

tblLANCompra: Field 'Descrição' not found
O comando não pôde ser executado!"
0000519,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Vendas,2013-04-11,2013-08-09,fechado,Aliquota ICMS não pode ser alterada quando o produto não está nas regras de validação do interestadual.,,,"Ao lançar um produto na venda quando este produto não está nas condições de validação da alíquota interestadual, o sistema não me permite alterar essa alíquota."
0000517,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Vendas,2013-04-10,2013-08-09,fechado,Aliquota ICMS não está saindo no danfe.,,,Aliquota ICMS não está saindo no danfe.
0000516,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Vendas,2013-04-10,2013-08-09,fechado,"Fonte do campo ""Total"" na tela de vendas está grande com relação ao tamanho do campo.",,,"Ao fazer venda, na qual o valor total dos produtos seja na faixa de 10.000,00 ou superior o campo ""Total"" está cortando esse valor."
0000515,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Vendas,2013-04-10,2013-08-09,fechado,"Erro ao fazer venda com produto com quantidade acima de 10.000,00.",,,"Ao fazer uma venda com cliente para fora do estado, na qual o produto a ser lançado está com os campos da guia ""ICMS saída fora do estado"" em branco, ao lançar o produto com quantidade 10.000,00 ou similar o sistema exibe a seguinte mensagem de erro:

SQL Error:  Dynamic SQL Error SQL error code = -303 arithmetic exception, numeric overflow, or string truncation. Error Code: -303. Incompatible column/host variable data type The SQL: INSERT INTO IN01LAN (IN01LAN.NOTFI, IN01LAN.IPIPR, IN01LAN.CDPRO, IN01LAN.GRADE, IN01LAN.VENDA, IN01LAN.HREMI, IN01LAN.DTEMI, IN01LAN.DTPRO, IN01LAN.TPMOV, IN01LAN.QUANT, IN01LAN.VALOR, IN01LAN.HISTO, IN01LAN.PREVE, IN01LAN.PRECU, IN01LAN.DESPR, IN01LAN.CDFRN, IN01LAN.NMOPE, IN01LAN.DTOPE, IN01LAN.ENVIOU, IN01LAN.PBASE, IN01LAN.VBASE, IN01LAN.PICMS, IN01LAN.VICMS, IN01LAN.ALIPI, IN01LAN.VLIPI, IN01LAN.PREDU, IN01LAN.OUTRO, IN01LAN.QTUND, IN01LAN.PRUND, IN01LAN.PPISS, IN01LAN.VPISS, IN01LAN.PCOFI, IN01LAN.VCOFI, IN01LAN.VICST, IN01LAN.EPROM, IN01LAN.ATACA, IN01LAN.CFOP, IN01LAN.NUMCX, IN01LAN.PBAGR, IN01LAN.PAGRE, IN01LAN.VAGRE, IN01LAN.VBAGR, IN01LAN.VERSAO, IN01LAN.CSTCOFINS_SAIDA, IN01LAN.CSTPIS_SAIDA, IN01LAN.TPALI, IN01LAN.PCSOSN, IN01LAN.NCSOSN, IN01LAN.TRIBU, IN01LAN.BASEIPI, IN01LAN.NMPRO) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?); 
O comando não pôde ser executado!"
